Name,School,POS,ATT,YDS,AVG,LNG,TD
Ollie Gordon II,OKST,RB,285,"1,732",6.1,75,21
Kimani Vidal,TROY,RB,297,"1,661",5.6,69,14
Cody Schrader,MIZ,RB,276,"1,627",5.9,52,14
Tahj Brooks,TTU,RB,290,"1,541",5.3,46,10
Omarion Hampton,UNC,RB,253,"1,504",5.9,68,15
RJ Harvey,UCF,RB,226,"1,416",6.3,92,16
Quinton Cooley,LIB,RB,221,"1,401",6.3,60,16
Peny Boone,TOL,RB,194,"1,400",7.2,71,15
Makhi Hughes,TULN,RB,258,"1,378",5.3,58,7
Marcus Carroll,GAST,RB,274,"1,350",4.9,63,13
Ashton Jeanty,BOIS,RB,220,"1,347",6.1,68,14
Audric Estime,ND,RB,210,"1,341",6.4,80,18
Ismail Mahdi,TXST,RB,223,"1,331",6.0,65,10
Jaydn Ott,CAL,RB,245,"1,305",5.3,66,12
Antario Brown,NIU,RB,212,"1,296",6.1,80,10
Devin Neal,KU,RB,203,"1,280",6.3,75,16
Kyle Monangai,RUTG,RB,242,"1,262",5.2,55,8
Blake Corum,MICH,RB,258,"1,245",4.8,59,27
DJ Giddens,KSU,RB,223,"1,226",5.5,43,10
Emani Bailey,TCU,RB,223,"1,209",5.4,74,8
Dillon Johnson,WASH,RB,233,"1,195",5.1,53,16
Kairee Robinson,SJSU,RB,170,"1,194",7.0,52,18
Jacory Croskey-Merritt,UNM,RB,189,"1,190",6.3,55,17
Damien Martinez,ORST,RB,194,"1,185",6.1,64,9
Bucky Irving,ORE,RB,186,"1,180",6.3,56,11
Quinshon Judkins,MISS,RB,271,"1,158",4.3,40,15
Kay'Ron Lynch-Adams,MASS,RB,236,"1,157",4.9,47,12
Blake Watson,MEM,RB,192,"1,152",6.0,69,14
Jonathon Brooks,TEX,RB,187,"1,139",6.1,67,10
Rasheen Ali,MRSH,RB,212,"1,135",5.4,64,15
Jayden Daniels,LSU,QB,135,"1,134",8.4,85,10
Frank Gore Jr.,USM,RB,231,"1,131",4.9,75,10
Ray Davis,UK,RB,199,"1,129",5.7,75,14
Jawhar Jordan,LOU,RB,181,"1,128",6.2,74,13
Thomas Castellanos,BC,QB,215,"1,113",5.2,45,13
Kaidon Salter,LIB,QB,163,"1,089",6.7,52,12
Rashad Amos,M-OH,RB,210,"1,075",5.1,66,13
LeQuint Allen,SYR,RB,245,"1,064",4.3,56,9
Jamal Haynes,GT,RB,174,"1,059",6.1,67,7
Corey Kiner,CIN,RB,192,"1,047",5.5,68,5
Marquez Cooper,BALL,RB,227,"1,043",4.6,39,4
Ayo Adeyi,UNT,RB,143,"1,017",7.1,47,6
Jaylen Wright,TENN,RB,137,"1,013",7.4,82,4
La'Damian Webb,USA,RB,186,"1,007",5.4,65,16
Jalen Buckley,WMU,RB,189,"1,003",5.3,75,10
Braelon Allen,WIS,RB,181,984,5.4,52,12
Malik Sherrod,FRES,RB,172,966,5.6,72,9
Phil Mafah,CLEM,RB,179,965,5.4,49,13
Emmanuel Michel,AFA,FB,204,950,4.7,54,11
Harrison Waylee,WYO,RB,164,947,5.8,75,5
