Name,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS,LNG,TD,FF
Jay Higgins,IOWA,LB,79,92,171,2.0,9,3,1,0,0,0,1
Jason Henderson,ODU,LB,51,116,167,4.5,25,0,0,0,0,0,1
Matt Salopek,M-OH,LB,75,69,144,3.0,29,3,1,1,1,0,0
MJ Tafisi Jr.,USU,LB,55,87,142,0.0,0,1,0,0,0,0,2
Nick Martin,OKST,LB,83,57,140,6.0,23,0,2,40,27,0,1
Tyrice Knight,UTEP,LB,84,56,140,4.5,16,6,0,0,0,0,1
Joe Sparacio,EMU,LB,63,76,139,2.5,23,3,1,8,8,0,3
Payton Wilson,NCSU,LB,69,69,138,6.0,34,6,3,19,15,1,1
Nathaniel Watson,MSST,LB,35,102,137,10.0,74,2,1,16,16,0,2
Trevor Williams,SHSU,LB,85,50,135,1.5,9,0,2,31,31,1,1
Wayne Matthews III,ODU,LB,39,96,135,3.5,32,3,0,0,0,0,3
Kendarin Ray,TLSA,S,73,58,131,0.0,0,1,1,0,0,0,0
Jett Johnson,MSST,LB,45,85,130,6.0,40,1,3,42,33,0,2
Chase Kline,EMU,LB,46,83,129,2.0,10,3,0,0,0,0,2
Bryce Houston,OHIO,LB,60,68,128,2.5,19,1,3,24,24,0,1
Tyren Dupree,LIB,LB,66,57,123,2.5,8,3,2,6,6,0,0
Ty Wise,M-OH,LB,61,61,122,8.0,53,5,1,14,14,0,0
Donovan Manuel,FIU,LB,68,53,121,0.5,4,3,0,0,0,0,5
Cedric Gray,UNC,LB,64,57,121,5.0,48,4,1,0,0,0,2
Bryce Gallagher,NU,LB,46,74,120,1.0,12,2,1,0,0,0,2
Hunter Wohler,WIS,S,74,46,120,1.0,1,6,2,0,0,0,0
Marques Watson-Trent,GASO,LB,58,58,116,3.5,11,2,2,50,50,1,1
Jackson Woodard,UNLV,LB,55,61,116,2.5,15,3,1,5,5,0,0
Dallas Gant,TOL,LB,50,65,115,1.0,3,2,1,0,0,0,1
Jason Johnson,UCF,LB,66,49,115,3.0,27,1,0,0,0,0,0
Jack Howell,CSU,DB,50,64,114,0.0,0,3,1,23,23,0,1
Jackson Mitchell,CONN,LB,56,57,113,1.0,6,1,1,0,0,0,1
Debo Williams,SC,LB,67,46,113,1.0,11,2,0,0,0,0,0
Keyshaun Elliott,NMSU,LB,59,52,111,2.5,15,6,0,0,0,0,1
Xander Mueller,NU,LB,55,55,110,5.0,32,2,3,33,28,0,1
Nick Jackson,IOWA,LB,51,59,110,4.0,16,2,0,0,0,0,2
Colin Ramos,NAVY,LB,57,53,110,2.0,1,4,0,0,0,0,2
Aaron Casey,IU,LB,78,31,109,6.5,44,3,0,0,0,0,3
Andrew Parker Jr.,APP,LB,51,58,109,2.0,19,2,0,0,0,0,0
Easton Gibbs,WYO,LB,47,62,109,2.0,19,5,1,2,2,0,2
Dominique Hampton,WASH,S,64,44,108,0.0,0,7,2,0,0,0,0
Marlowe Wax,SYR,LB,74,34,108,4.0,26,2,1,14,14,0,4
Aiden Fisher,JMU,LB,50,58,108,1.5,9,6,1,4,4,0,0
Chase Wilson,CSU,LB,44,63,107,3.5,36,3,0,0,0,0,0
Jonas Sanker,UVA,S,73,34,107,0.0,0,11,0,0,0,0,3
Caleb Downs,ALA,S,70,37,107,0.0,0,3,2,11,11,0,1
Beau Freyler,ISU,DB,56,50,106,1.0,3,5,3,18,18,0,0
Bryun Parham,SJSU,LB,60,46,106,2.5,19,2,1,20,20,0,1
Tre Freeman,DUKE,LB,55,51,106,1.5,4,3,1,24,24,0,1
Dillon Thieneman,PUR,DB,74,32,106,0.0,0,2,6,58,32,0,2
Easton Mascarenas-Arnold,ORST,LB,49,57,106,2.0,23,0,2,10,10,0,0
Brian Holloway,TXST,LB,60,45,105,1.5,15,0,4,87,84,2,3
Kendal Daniels,OKST,S,62,43,105,2.0,17,1,2,21,20,0,1
Donovan McMillon,PITT,S,54,51,105,0.0,0,1,0,0,0,0,1
Ben Roberts,TTU,LB,55,50,105,0.5,2,0,1,5,5,0,2
